docid,paraid,exfeat,imfeat,opword,context,fsentiment,ssentiment
26,1,battery life,,decent,,positive,positive
26,1,call quality,,good,,positive,positive
26,1,interface,,user-friendly,,positive,positive
26,2,interface,,intuitive,,positive,positive
26,2,bluetooth sync with Microsoft Outlook,,seamless,,positive,positive
26,2,phone,,distinction,such,positive,positive
26,3,phone,,best,,positive,positive
26,4,mega-pixel camera,,lack,,negative,negative
26,5,Motorola's phones,design,engineered,well,positive,negative
26,5,user interface,,poorly,very,negative,negative
26,6,Nokia models,,newer,,negative,negative
