docid,paraid,exfeat,imfeat,opword,context,fsentiment,ssentiment
50,1,phone,,good,,positive,positive
50,1,service,,so-so,,negative,positive
50,3,customer service,,horrible,,negative,positive
50,3,portability,,heaven-sent,,positive,positive
50,4,things,,decent,,positive,positive
50,5,phone,,tiny,,positive,positive
50,5,phone,,cute,,positive,positive
50,5,feels,,plastic-like,,negative,positive
50,5,,looks,sturdy,,positive,positive
50,6,cute features,,little,,positive,positive
50,6,game,,favourite,,positive,positive
50,6,pim,,favourite,,positive,positive
50,6,radio,,favourite,,positive,positive
50,7,reception,,unpredictable,,negative,negative
50,8,headset plugged in,,tedious,get,negative,negative
50,9,headset,,hurts,,negative,negative
50,10,ringtones,,okay,,positive,negative
50,10,background,,decent,,positive,negative
50,10,screensavers,,decent,,positive,negative
50,10,memory,,little,,negative,negative
50,11,,displays,crisp,not,negative,negative
50,15,buttons,,small,,negative,positive
50,16,menu options,,uncreative,,negative,negative
50,20,volume level,,quiet,especially,negative,negative
50,22,battery-life,,amazing,,positive,positive
50,24,t-mobile service,,surprised,,positive,positive
50,25,service,,exceptional,,positive,positive
50,26,reception,,horrendous,,negative,positive
50,28,,subscriptions,cheap,although,negative,negative
50,33,demands,,keep up,cant,negative,negative
50,35,customer reps,,nice,very,positive,positive
50,43,csr,,good,pretty,positive,positive
50,44,line,,clear,,positive,negative
50,44,csr,,good,isn't,negative,positive
50,47,reception,,exceptional,,positive,positive
50,48,service,,okay,,positive,positive
50,51,luck,,better,,positive,negative
